PERSON,REGION,MARKET
Deborah Brumfield,Central,EU
Giulietta Dortch,North,EU
Shirley Daniels,South,EU
George Red,Central,US
Nicole Hansen,East,US
Henry Rrpwn,South,US
Alejandro Ballentine,West,US
Larry Hughes,Central Asia,APAC
Nora Preis,North Asia,APAC
Jack Lebron,Oceania,APAC
Anthony Jacobs,Southeast Asia,APAC
Chuck Magee,EMEA,EMEA
Matt Collister,Caribbean,LATAM
Johnny White,Central,LATAM
Sandra Lager,North,LATAM
Alexandra Martinez,South,LATAM
Anna Andreadi,Africa,Africa
Kelly Williams,Canada,Canada
